Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 184061 ms ] IR: 14  Full: 45  Visible: 31  Lux: 0
[ 184684 ms ] IR: 14  Full: 47  Visible: 33  Lux: 0
[ 185308 ms ] IR: 14  Full: 56  Visible: 42  Lux: 0
[ 185930 ms ] IR: 27  Full: 44  Visible: 17  Lux: 0
[ 186554 ms ] IR: 14  Full: 56  Visible: 42  Lux: 0
[ 187176 ms ] IR: 27  Full: 58  Visible: 31  Lux: 0
[ 187799 ms ] IR: 26  Full: 61  Visible: 35  Lux: 0
[ 188423 ms ] IR: 28  Full: 64  Visible: 36  Lux: 0
[ 189045 ms ] IR: 28  Full: 51  Visible: 23  Lux: 0
[ 189669 ms ] IR: 22  Full: 57  Visible: 35  Lux: 0
[ 190291 ms ] IR: 25  Full: 69  Visible: 44  Lux: 0
[ 190914 ms ] IR: 31  Full: 53  Visible: 22  Lux: 0
[ 191538 ms ] IR: 15  Full: 58  Visible: 43  Lux: 0
[ 192160 ms ] IR: 18  Full: 91  Visible: 73  Lux: 0
[ 192784 ms ] IR: 40  Full: 93  Visible: 53  Lux: 0
[ 193406 ms ] IR: 37  Full: 113  Visible: 76  Lux: 0
[ 194030 ms ] IR: 40  Full: 132  Visible: 92  Lux: 0
[ 194653 ms ] IR: 46  Full: 137  Visible: 91  Lux: 0
[ 195275 ms ] IR: 47  Full: 149  Visible: 102  Lux: 0
[ 195899 ms ] IR: 50  Full: 133  Visible: 83  Lux: 0
[ 196521 ms ] IR: 46  Full: 133  Visible: 87  Lux: 0
[ 197145 ms ] IR: 45  Full: 145  Visible: 100  Lux: 0
[ 197768 ms ] IR: 48  Full: 150  Visible: 102  Lux: 0
[ 198391 ms ] IR: 50  Full: 120  Visible: 70  Lux: 0
[ 199014 ms ] IR: 32  Full: 150  Visible: 118  Lux: 0
[ 199638 ms ] IR: 51  Full: 184  Visible: 133  Lux: 0
[ 200260 ms ] IR: 57  Full: 207  Visible: 150  Lux: 0
[ 200884 ms ] IR: 64  Full: 210  Visible: 146  Lux: 0
[ 201506 ms ] IR: 64  Full: 199  Visible: 135  Lux: 0
[ 202130 ms ] IR: 62  Full: 171  Visible: 109  Lux: 0
[ 202753 ms ] IR: 44  Full: 122  Visible: 78  Lux: 0
[ 203376 ms ] IR: 34  Full: 115  Visible: 81  Lux: 0
[ 203999 ms ] IR: 32  Full: 116  Visible: 84  Lux: 0
[ 204622 ms ] IR: 32  Full: 134  Visible: 102  Lux: 0
[ 205245 ms ] IR: 39  Full: 119  Visible: 80  Lux: 0
[ 205869 ms ] IR: 42  Full: 114  Visible: 72  Lux: 0
[ 206491 ms ] IR: 40  Full: 123  Visible: 83  Lux: 0
[ 207114 ms ] IR: 34  Full: 145  Visible: 111  Lux: 0
[ 207737 ms ] IR: 39  Full: 140  Visible: 101  Lux: 0
[ 208360 ms ] IR: 46  Full: 153  Visible: 107  Lux: 0
[ 208984 ms ] IR: 51  Full: 153  Visible: 102  Lux: 0
[ 209606 ms ] IR: 51  Full: 136  Visible: 85  Lux: 0
[ 210230 ms ] IR: 37  Full: 143  Visible: 106  Lux: 0
[ 210852 ms ] IR: 48  Full: 140  Visible: 92  Lux: 0
[ 211476 ms ] IR: 48  Full: 129  Visible: 81  Lux: 0
